Product Name,Type,Price per Sq Ft,Installation Cost per Sq Ft
Oak Hardwood,Hardwood,8.5,4
Maple Hardwood,Hardwood,9,4.25
Bamboo Flooring,Bamboo,7.25,3.75
Cherry Hardwood,Hardwood,10,4.5
Walnut Hardwood,Hardwood,12.5,5
Pine Wood Plank,Softwood,4,2.5
Luxury Vinyl Plank,Vinyl,5.75,3
Engineered Wood,Engineered Wood,8,4
Cork Flooring,Cork,6.5,3.25
Laminate Flooring,Laminate,3.25,2
Marble Tile,Stone,15,7
Granite Tile,Stone,14,6.5
Porcelain Tile,Tile,8.25,4.25
Ceramic Tile,Tile,6,3.75
Slate Tile,Stone,13,6
Concrete Stain,Concrete,3.5,2
Carpet Tile,Carpet,4.25,2.25
Berber Carpet,Carpet,5,3
Wool Carpet,Carpet,6.75,4
Nylon Carpet,Carpet,5.5,3.5